HTS cache mappings: 3992, targets: 340
[ok] uploads\202311134\logo202304101459347665613.png (10041 bytes) <- https://www.certifiedglassbottles.com/uploads/202311134/logo202304101459347665613.png
[ok] uploads\11134\favicon.jpg (792 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/favicon.ico
[ok] Content\uploads\201999770\201912061139223332612.jpg (66077 bytes) <- https://www.certifiedglassbottles.com/Content/uploads/201999770/201912061139223332612.JPG
[ok] Content\uploads\201999770\201912181258327433199.jpg (72620 bytes) <- https://www.certifiedglassbottles.com/Content/uploads/201999770/201912181258327433199.jpg
[ok] Content\uploads\202099770\202003051725221678030.jpg (65096 bytes) <- https://www.certifiedglassbottles.com/Content/uploads/202099770/202003051725221678030.jpg
[ok] Content\uploads\202099770\2020042616515191ad9720feb54518b50f4b0c5082997d.jpg (102399 bytes) <- https://www.certifiedglassbottles.com/Content/uploads/202099770/2020042616515191ad9720feb54518b50f4b0c5082997d.png
[ok] Content\uploads\202099770\202004301053495f89d37c20684bb3a1e4b0b5b91c4b5f.jpg (56845 bytes) <- https://www.certifiedglassbottles.com/Content/uploads/202099770/202004301053495f89d37c20684bb3a1e4b0b5b91c4b5f.jpg
[ok] Content\uploads\202099770\20200430112313182a5cdd3e7e4b99afd0a454b93c4fb9.jpg (87690 bytes) <- https://www.certifiedglassbottles.com/Content/uploads/202099770/20200430112313182a5cdd3e7e4b99afd0a454b93c4fb9.jpg
[no-map] uploads/11134/30-50mm-customized-aluminum-spirits-cap8a515.jpg
[ok] uploads\11134\30-50mm-customized-aluminum-spirits-cap9b6c1.jpg (38025 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/30-50mm-customized-aluminum-spirits-cap9b6c1.jpg
[no-map] uploads/11134/b5747.jpg
[ok] uploads\11134\banner\202412230202311eb04.jpg (162975 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/banner/202412230202311eb04.jpg
[ok] uploads\11134\banner\202412230202311eb048d3b.jpg (162975 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/banner/202412230202311eb04.jpg?size=1920x807
[ok] uploads\11134\banner\20241226025204bd43a22fe.jpg (134655 bytes) <- https://www.certifiedglassbottles.com/uploads/11134/banner/20241226025204bd43a.jpg?size=1920x650
